candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent
2001,96,naics2,22,823,95,823,191066371.0,139009037.525,10232700.0,7909784.67,3,190793871.0,9960200.0,7560645.25,11.543135,9.536453,13.907153,True,5.355574,4.13981,77.299097,3.96273,75.908569
2001,96,naics2,61,12295,1759,12295,2618872281.0,1915602153.917,177362549.0,128448375.4,58,2614542581.0,173032849.0,122990772.06,14.306629,13.698866,14.936689,True,6.772478,4.904721,72.421363,4.704103,71.079435
2001,96,naics2,11,11341,771,11341,5528740533.0,4193980293.863,252834782.0,145537867.78,30,5524648533.0,248742782.0,140271316.31,6.798342,6.349547,7.276395,True,4.573099,2.632387,57.562439,2.539009,56.392115
2001,96,naics2,31,17973,2437,17973,5267421839.0,3885474173.442,344398585.0,236824103.55,76,5257581339.0,334558085.0,222721645.07,13.559228,13.066496,14.067534,True,6.538276,4.496016,68.76454,4.2362,66.571891
2001,96,naics2,71,23584,3535,23584,7028285202.0,5192348560.263,595735907.0,397905449.84,93,7010501217.0,577951922.0,377558683.15,14.988976,14.539101,15.450254,True,8.476263,5.661487,66.792256,5.385616,65.327005
2001,96,naics2,49,3499,564,3499,769124073.0,559509733.37,50676300.0,37050942.48,11,768395073.0,49947300.0,36123390.39,16.118891,14.937789,17.374306,True,6.588833,4.817291,73.112959,4.701148,72.323009
2001,96,naics2,21,2271,188,2271,879282737.0,652203595.2772,55810891.0,32702682.29,3,877835237.0,54363391.0,31081846.72,8.278292,7.214211,9.483281,True,6.34732,3.719245,58.595521,3.540738,57.174224
2001,96,naics2,55,409,27,409,173520450.0,123481926.868,2381300.0,1631402.0,2,173470450.0,2331300.0,1506870.86,6.601467,4.576258,9.434316,False,1.372345,0.940179,68.508882,0.868661,64.636506
2001,96,project_state,NY,65829,11043,65829,11082076551.0,7690272235.01758,927690203.0,680864443.7,266,11066297851.0,911911503.0,656737384.5,16.775281,16.491791,17.062649,True,8.371086,6.143835,73.393515,5.934572,72.017666
2001,96,project_state,GA,25964,5017,25964,11383103798.0,8593175271.686699,804871021.0,526811416.74,82,11368314798.0,790082021.0,509434017.66,19.322909,18.847204,19.80769,True,7.070752,4.628012,65.452899,4.481174,64.478624
2001,96,project_state,OH,44364,5253,44364,8333063910.0,5858230046.174,595923894.0,411197447.51,201,8321760441.0,584620425.0,395978084.12,11.840682,11.543335,12.144637,True,7.151318,4.934529,69.001671,4.758345,67.732509
2001,96,project_state,MN,26169,2764,26169,6225263062.99,4584801170.865499,476494161.17,298604602.26,91,6216321637.99,467552736.17,286362981.19,10.562115,10.195502,10.940305,True,7.654201,4.796658,62.667001,4.606631,61.247205
2001,96,project_state,LA,8832,1352,8832,2048552197.0,1537068555.564,172208110.0,111855311.48,25,2043964397.0,167620310.0,105719632.56,15.307971,14.572137,16.073971,True,8.406333,5.460213,64.953568,5.172283,63.070897
2001,96,project_state,MO,18510,2638,18510,4390999109.0,3276429957.027,416151882.0,263966981.33,66,4382090909.0,407243682.0,253278218.81,14.251756,13.755564,14.762783,True,9.477385,6.011547,63.430443,5.779849,62.193284
2001,96,project_state,IN,19267,2527,19267,4753238113.57,3447884492.2915,373679059.0,239358699.55,84,4744572262.57,365013208.0,230457294.08,13.11569,12.646375,13.59971,True,7.861568,5.035698,64.05462,4.857283,63.1367
2001,96,project_state,NC,17552,2613,17552,5587365315.0,4135856732.437,363128477.0,231766791.33,42,5581885415.0,357648577.0,224888250.72,14.887192,14.368268,15.421483,True,6.4991,4.148052,63.825011,4.028894,62.879672
2001,96,project_state,CO,22919,3454,22919,6833162182.0,5059202866.899,507985728.0,333803001.72,80,6824146082.0,498969628.0,321829820.54,15.070466,14.613148,15.53949,True,7.434124,4.885044,65.711098,4.716045,64.49888
2001,96,project_state,NH,11229,1155,11229,1187993272.0,792372585.77,97276280.0,65052230.28,76,1185212472.0,94495480.0,60412306.18,10.285867,9.73752,10.861377,True,8.188285,5.475808,66.873682,5.097171,63.931424
2001,96,project_state,ND,3744,237,3744,719340449.0,512965218.5,37857325.0,21539575.77,9,718138749.0,36655625.0,20110001.58,6.330128,5.59402,7.155758,True,5.262783,2.994351,56.896719,2.800295,54.86198
2001,96,project_state,IL,32799,6160,32799,7925765597.0,5774330596.509701,773983476.0,545522462.11,144,7905802497.0,754020376.0,521136785.29,18.78106,18.36205,19.207382,True,9.76541,6.882899,70.482443,6.591827,69.114417
2001,96,project_state,MA,32569,3364,32569,4074752170.0,2711900214.65,306217798.0,217869130.46,170,4066147670.0,297613298.0,203739204.83,10.32884,10.002985,10.664053,True,7.515004,5.346807,71.148422,5.01062,68.457695
2001,96,project_state,TN,9604,1752,9604,2840824473.0,2132722674.043,232442776.0,143715720.08,23,2838195973.0,229814276.0,140667238.45,18.242399,17.482774,19.027419,True,8.182229,5.058944,61.82843,4.95622,61.209095
2001,96,project_state,FL,49731,11226,49731,14199227040.0,10449574182.77326,1482201432.0,1092427385.22,285,14168067240.0,1451041632.0,1052635343.53,22.573445,22.208138,22.942989,True,10.438606,7.693569,73.703031,7.429633,72.543428
2001,96,project_state,PA,39428,4535,39428,7681963183.74,5514895558.017,496804155.0,354525692.83,222,7668539983.74,483380955.0,335159611.1,11.501978,11.190803,11.820655,True,6.467151,4.61504,71.361258,4.370579,69.336536
2001,96,project_state,AL,6541,1173,6541,2000015142.0,1508839963.21,163146480.0,103881221.46,19,1993103382.0,156234720.0,96449825.28,17.933038,17.022254,18.881465,True,8.157262,5.194022,63.67359,4.839178,61.733925
2001,96,project_state,CA,130789,23336,130789,43132282266.0,31924948024.5642,2679918442.0,1887791188.57,391,43078016399.0,2625652575.0,1824283956.4,17.842479,17.635927,18.050921,True,6.213254,4.376748,70.442113,4.234837,69.479259
2001,96,project_state,MT,5812,367,5812,1170332571.0,880564326.218,47775356.0,28733044.35,9,1169665671.0,47108456.0,27855802.51,6.314522,5.717613,6.96914,True,4.082203,2.455118,60.141979,2.381518,59.131215
2001,96,project_state,TX,75444,11705,75444,24131548210.0,17895479632.77544,1803035091.0,1220071117.6,291,24090969170.0,1762456051.0,1170997054.88,15.514819,15.258231,15.774919,True,7.471693,5.055917,67.66763,4.86073,66.441206
2001,96,project_state,MD,15088,2393,15088,3257571697.0,2363434488.692,246997860.0,184371774.12,70,3246198697.0,235624860.0,170393946.81,15.860286,15.286093,16.451859,True,7.582269,5.659792,74.64509,5.24903,72.315776
2001,96,project_state,WA,25231,3046,25231,7595367255.0,5656016687.81,399943491.0,258816795.81,80,7588810555.0,393386791.0,250022731.2,12.072451,11.676199,12.480249,True,5.265624,3.407561,64.713341,3.294623,63.556463
2001,96,project_state,WV,2738,358,2738,536388764.0,385276335.5,33874404.0,24062662.12,4,536263764.0,33749404.0,23887481.66,13.075237,11.864015,14.389927,True,6.315271,4.486049,71.034939,4.454428,70.778973
2001,96,project_state,RI,8673,896,8673,1062328591.0,728092884.45,80430600.0,55306342.59,59,1060640091.0,78742100.0,52106024.83,10.330912,9.707824,10.989125,True,7.57116,5.206143,68.762812,4.912696,66.173019
2001,96,project_state,AR,5420,805,5420,1849771790.75,1380530545.2425,156463811.0,101381020.39,38,1846519190.75,153211211.0,97458843.52,14.852399,13.930555,15.824029,True,8.458547,5.480731,64.795188,5.277976,63.610778
2001,96,project_state,NJ,29165,4740,29165,7707041080.01,5600501027.579791,531540700.0,381703312.43,141,7692044180.01,516543800.0,361282333.46,16.252357,15.833396,16.680208,True,6.896819,4.952657,71.81074,4.696831,69.942246
2001,96,project_state,NM,4895,446,4895,1269960376.0,941032912.1772,57073886.0,36787644.67,15,1269061876.0,56175386.0,35364844.28,9.111338,8.336926,9.949876,True,4.494147,2.896755,64.456176,2.786692,62.954341
2001,96,project_state,ME,5976,473,5976,865141643.0,606577387.53,60929750.0,38115213.34,17,864320443.0,60108550.0,37034895.81,7.914993,7.257232,8.626826,True,7.042748,4.405662,62.555998,4.284857,61.613358
2001,96,project_state,ID,9645,1132,9645,1791324492.0,1317899365.66,124772850.0,86669147.04,44,1788878092.0,122326450.0,82909844.3,11.736651,11.1095,12.394269,True,6.965396,4.838272,69.461543,4.63474,67.777528
2001,96,project_state,CT,12916,1538,12916,2536193778.0,1778211255.13,200641602.0,142550479.72,58,2530670778.0,195118602.0,135534266.63,11.907711,11.360449,12.477626,True,7.911131,5.620646,71.047319,5.355666,69.462504
2001,96,project_state,AZ,21140,3539,21140,6986041173.0,5139287215.612,606557500.0,419623379.66,80,6977865673.0,598382000.0,409321360.03,16.740776,16.24356,17.250077,True,8.682421,6.006598,69.181138,5.865997,68.404691
2001,96,project_state,OR,13071,1560,13071,3368406166.0,2492608915.008,171796257.0,115708669.51,26,3365763166.0,169153257.0,112605652.92,11.934818,11.390189,12.501813,True,5.100224,3.435116,67.352265,3.34562,66.570195
2001,96,project_state,UT,22262,3177,22262,4034906088.0,2886966259.27,313621007.0,218728339.48,134,4027823288.0,306538207.0,208526764.94,14.270955,13.817648,14.73659,True,7.772697,5.420903,69.742885,5.177158,68.026354
2001,96,project_state,PR,9646,1022,9646,956620112.0,634881276.46,60602219.0,47151868.11,52,954644112.0,58626219.0,43844710.43,10.595065,9.996478,11.225026,True,6.335035,4.929007,77.805514,4.592781,74.786864
2001,96,project_state,MI,31936,4617,31936,7453007233.0,5309947342.62,535132561.0,364399516.11,179,7442501362.0,524626690.0,350583053.65,14.457039,14.075622,14.847006,True,7.180089,4.889295,68.095187,4.710554,66.825242
2001,96,project_state,SC,6865,1027,6865,2526040239.31,1892520723.9135,163785046.0,105682716.42,27,2523135439.31,160880246.0,101922648.05,14.959942,14.135814,15.823262,True,6.483865,4.183731,64.525254,4.039523,63.353115
2001,96,project_state,IA,8468,1079,8468,2168020448.52,1642252549.757,216438564.0,135724011.98,28,2162022748.52,210440864.0,128182279.9,12.742088,12.048743,13.469221,True,9.983234,6.260274,62.707869,5.928813,60.911307
2001,96,project_state,MS,8250,1037,8250,2148124320.0,1646115271.485,160070799.0,95833558.28,19,2144086120.0,156032599.0,91272480.55,12.569697,11.871729,13.302507,True,7.451654,4.461267,59.869482,4.256941,58.495777
2001,96,project_state,OK,9206,1323,9206,2613098812.76,1940155219.987,232649592.0,140049628.35,30,2610393112.76,229943892.0,136571653.98,14.371062,13.669334,15.102512,True,8.903207,5.359523,60.197668,5.231842,59.393469
