candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent,total_gross_approval,total_chargeoff_loan_approval,total_gross_chargeoff_amount,total_sensitivity_gross_chargeoff_amount,gross_approval_share_percent,chargeoff_loan_approval_share_percent,gross_chargeoff_amount_share_percent,sensitivity_gross_chargeoff_amount_share_percent,financial_anomaly_share_shift_pp
2001,120,naics2,33,38994,5377,38994,12654530007.0,9348908216.8,1162223530.0,731712479.81,169,12631816056.0,1139509579.0,703852361.81,13.789301,13.45065,14.135086,True,9.184249,5.782218,62.957982,5.57206,61.768007,206223316725.65,21365606564.17,14162165844.38,13604006615.14,6.136323577723757,5.439693586556266,5.166670746906745,5.173860772948151,-0.00719002604140595
2001,120,naics2,23,83673,15855,83673,12288888325.0,8486899872.237,1721720327.0,1186689986.89,533,12255639725.0,1688471727.0,1134879326.59,18.948765,18.684655,19.215725,True,14.010383,9.65661,68.924666,9.260058,67.213404,206223316725.65,21365606564.17,14162165844.38,13604006615.14,5.959019823810016,8.058373263726176,8.37929734709975,8.342243272117967,0.03705407498178204
2001,120,naics2,72,107378,18528,107378,35767198936.83,26636501785.9635,3987427134.0,2601883813.71,548,35655300400.83,3875528598.0,2476637015.52,17.254931,17.030099,17.482107,True,11.148279,7.274497,65.252197,6.946056,63.904496,206223316725.65,21365606564.17,14162165844.38,13604006615.14,17.343916054076967,18.662831415640184,18.372075587170947,18.20520296398366,0.16687262318728813
2001,120,naics2,44,105430,20385,105430,28262513810.0,20822320854.19554,3262539012.0,2097000323.78,483,28211487692.0,3211512894.0,2033234013.35,19.335104,19.097836,19.574606,True,11.543697,7.419723,64.275103,7.207114,63.310785,206223316725.65,21365606564.17,14162165844.38,13604006615.14,13.704810037363112,15.270050968135207,14.807059505041433,14.945846991041586,-0.13878748600015278
2001,120,naics2,54,87779,13434,87779,14963053317.0,10625763896.909,1266583224.0,912770896.39,367,14935321517.0,1238851424.0,873996017.37,15.304344,15.067691,15.544034,True,8.464738,6.100165,72.065608,5.851873,70.548897,206223316725.65,21365606564.17,14162165844.38,13604006615.14,7.255752431189029,5.928140725590506,6.445136333099903,6.4245486061240475,0.020587726975855425
2001,120,naics2,52,13869,2631,13869,2572352570.0,1857142072.157,197951730.0,142945884.82,48,2569521370.0,195120530.0,139021332.51,18.970366,18.326484,19.631431,True,7.695358,5.55701,72.212496,5.410398,71.248952,206223316725.65,21365606564.17,14162165844.38,13604006615.14,1.247362621668111,0.9264971223984061,1.009350450988579,1.0219146200302647,-0.01256416904168578
2001,120,naics2,48,32467,6156,32467,4341059724.0,3032613929.42,514720631.0,333001897.24,120,4336622424.0,510283331.0,325681365.45,18.960791,18.538087,19.39084,True,11.857027,7.670982,64.695658,7.510024,63.823634,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.1050285646288707,2.409108440025211,2.3513486630446843,2.3940106371864505,-0.0426619741417662
2001,120,naics2,56,44303,7947,44303,5932414680.76,4187057909.256,715058466.0,504509727.07,206,5920412505.76,703056291.0,487261489.02,17.937837,17.583359,18.297875,True,12.053413,8.50429,70.555032,8.230195,69.306184,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.8766944373473593,3.346773534616841,3.5623769175828826,3.5817498682904425,-0.019372950707559955
2001,120,naics2,32,18983,3027,18983,6295877754.75,4648233954.04908,721808163.0,445038821.23,84,6285981954.75,711912363.0,431042690.13,15.945846,15.431946,16.473527,True,11.464774,7.068734,61.656108,6.857205,60.547156,206223316725.65,21365606564.17,14162165844.38,13604006615.14,3.0529417597941877,3.378364947571712,3.1424488748421604,3.1684980926890276,-0.0260492178468672
2001,120,naics2,53,19046,3974,19046,5057056494.0,3714687281.522,438964497.0,278567453.68,84,5051862825.0,433770828.0,271627199.03,20.865274,20.294089,21.448208,True,8.680237,5.50849,63.460133,5.376773,62.619978,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.4522234315180156,2.0545379588527153,1.9669834172330674,1.9966705891461713,-0.029687171913103994
