experiment_id,segment,value,loans,chargeoffs,prevalence,pr_auc,roc_auc,brier,calibration_intercept,calibration_slope,mean_predicted_risk
E05,project_state,OR,1395,76,0.05448028673835126,0.6314574023109234,0.9461264514584413,0.027767571084792223,0.16852218873848204,0.974510850361765,0.04884883153857688
E05,project_state,PA,2979,171,0.05740181268882175,0.594312592648796,0.9514690691591277,0.03189596027793913,0.11069124005452903,1.0338644958261443,0.05530121091984721
E05,project_state,PR,891,54,0.06060606060606061,0.48664536095997935,0.9403955927253418,0.042592937951074175,-0.8114131757205544,0.9475806192838601,0.09397081083428334
E05,project_state,RI,545,35,0.06422018348623854,0.8288208640521836,0.9854901960784314,0.02530355212315457,1.0278202340250326,1.6833741081600455,0.055182239326490655
E05,project_state,SC,715,47,0.06573426573426573,0.6844129091680129,0.9775767613708753,0.03010865804866763,0.42595628269072133,1.1383303236190283,0.05800277056085374
E05,project_state,TN,867,74,0.0853517877739331,0.6891212212857544,0.9528305102075594,0.04255896930449008,0.7809603884483206,1.029048763981961,0.05884085015164992
E05,project_state,TX,7632,704,0.09224318658280922,0.6711144725073586,0.9586361299010602,0.04523219216771871,0.48301395096230215,0.9763752348749845,0.07215222679018568
E05,project_state,UT,1818,96,0.052805280528052806,0.7166094332873222,0.9789307491289198,0.025434973413951262,0.3470418981959821,1.1770994243214017,0.04880064017751341
E05,project_state,VA,1386,113,0.08152958152958154,0.6644406858480434,0.9645948181773943,0.04045049009781094,0.4421245212818247,1.1670262488962468,0.07077418717438597
E05,project_state,WA,2561,116,0.04529480671612651,0.6808470121590829,0.9664903744446796,0.02193931830255236,0.3400186096739973,1.1677196644865755,0.04206105810569447
E05,project_state,WI,2425,133,0.05484536082474227,0.5672557714216185,0.9537308585600126,0.0331222209980644,0.18791931180314259,1.0187272782922678,0.04985775174985417
E05,business_age,Existing,55865,3156,0.05649333213998031,0.6315965428850467,0.9653546725605671,0.02980692827287847,0.4672606344601695,1.1085935962857734,0.04728865376949356
E05,business_age,New or early-stage,19454,1572,0.08080600390665159,0.661562854632374,0.9660181297354185,0.03768955919974997,0.3054224541608897,1.035580404323024,0.07113216178167951
E05,business_age,Startup,15264,1242,0.08136792452830188,0.6282576313279775,0.9470640913714841,0.04330954346207536,0.31331474774964657,1.0312790090708377,0.07015815845085265
E05,business_age,Unknown,6856,570,0.08313885647607934,0.6612771373962223,0.9604957549776445,0.039667045253015426,0.4775921037729451,1.050121831903526,0.06749784151494724
E05,business_type,CORPORATION,84455,5613,0.06646142916345983,0.6295381213893846,0.961653885747125,0.03458122619152999,0.37368219642094186,1.0631895350552987,0.056754324472461544
E05,business_type,INDIVIDUAL,11341,872,0.07688916321312053,0.7087952210425239,0.9696038478829152,0.03308388807747857,0.5823988487189862,1.1128574197823045,0.06268463478295719
E05,business_type,PARTNERSHIP,1642,55,0.03349573690621194,0.4730800492532349,0.9716904393652976,0.021710731221085605,0.27829099224519593,1.1939343111286087,0.0335861977567756
E05,processing_method,7a General,5528,338,0.06114327062228654,0.5533967843501729,0.9476243002588045,0.03686150904443719,0.17468866504628813,1.0164741300891365,0.05596283941123998
E05,processing_method,Community Advantage Initiative,1344,168,0.125,0.49711490841602934,0.9014643059604794,0.07668572733897693,-0.04871451528113403,0.8416822081608458,0.11742653945517542
E05,processing_method,Preferred Lenders Program,25335,1379,0.054430629563844486,0.6232063586648937,0.9619768826847287,0.029539137743348133,0.5151044891353688,1.109963919179947,0.04473892552325629
E05,processing_method,SBA Express Program,50024,3382,0.06760754837677914,0.6536158363153581,0.9673033794081223,0.0326965676064087,0.3610499752056115,1.0744696417606137,0.05867467459951872
E05,processing_method,Small Loan Advantage Initiative,13139,1196,0.09102671436182358,0.7029106007097191,0.9599881068296258,0.043365270027570076,0.7162469136839568,1.0848057999603982,0.0676831954322977
E05,processing_method,Working Capital CAPLine,627,25,0.03987240829346093,0.29747192594435445,0.8952823920265781,0.04183552856231358,-1.127490709235637,1.00397677410989,0.09322880658294332
E06,approval_fy,2015,55336,3642,0.06581610524793986,0.6565550369450177,0.9656616507094391,0.03253069814010279,0.31687503982104825,1.0756705846065873,0.058655838860077594
E06,approval_fy,2016,42103,2898,0.06883119967698263,0.6566713739240593,0.9616004520134428,0.03442033926295603,0.377743439677372,1.0424308959458777,0.05834475541615329
E06,naics2,11,1762,76,0.043132803632236094,0.49029548297581305,0.887931572704002,0.029365365606065265,0.16353259181813545,1.0711905297441362,0.04253441135063613
E06,naics2,23,10432,673,0.06451303680981595,0.6580967751608915,0.9681444658772709,0.030944787191255613,0.282850902937349,1.075374406007695,0.05834958385241633
E06,naics2,31,2163,140,0.06472491909385113,0.5859672832893401,0.9464762375538451,0.03514342009734625,0.14095355752216596,1.0097820518321274,0.06020694026431211
E06,naics2,32,1580,92,0.05822784810126582,0.5312078226123073,0.9530081229546515,0.03441181457550706,0.22234440399019523,1.0133652758633978,0.05176050908226952
E06,naics2,33,3569,207,0.05799943961894088,0.5869394514351531,0.9626466015455488,0.03239547123114324,0.24416049555988673,1.093865038172547,0.05409524737407804
E06,naics2,42,4861,358,0.07364739765480353,0.6620090748217442,0.9634672477814293,0.036889496422785745,0.1916699921774406,1.0521381491336708,0.06870564508773008
E06,naics2,44,9508,646,0.06794278502313841,0.6558918929004094,0.9623626951404158,0.03373919921853134,0.16698476440483837,1.043697800574257,0.06401474362648826
E06,naics2,45,3621,277,0.07649820491576913,0.6332141352636479,0.9566430742922286,0.03890935235127546,0.18425486660275234,0.9988280512926471,0.06961489824271212
E06,naics2,48,5434,493,0.09072506440927494,0.7643207165404116,0.9682090452327319,0.038380174488176357,0.8917421450406453,1.1195063162793906,0.06559116446801365
E06,naics2,51,1169,76,0.06501283147989735,0.6132657863435056,0.9659856984639091,0.033896803541876144,0.22806107558105151,1.0613919352895793,0.05964399904942679
E06,naics2,52,1742,64,0.03673938002296211,0.8063000484868545,0.986498063170441,0.01643590543897802,1.172486766522179,1.3346680958627584,0.026019395662646768
E06,naics2,53,2262,96,0.042440318302387266,0.6131216327942832,0.9758531471221914,0.023129868112399858,0.5631098761136321,1.1461941554337718,0.03520452618204367
E06,naics2,54,9721,609,0.06264787573294929,0.685800258361661,0.9696610759589478,0.029881631359651467,0.41119646649598146,1.0717930046529194,0.053294902108155504
E06,naics2,56,4652,317,0.0681427343078246,0.6995174181646169,0.9697928605474477,0.03129274818048567,0.5311065193946436,1.1008035153260982,0.05592781016033038
E06,naics2,61,1317,89,0.06757782839787396,0.6732574737510552,0.9732002342348938,0.032126404986832176,0.5347394154991162,1.1189376589647517,0.05590522951160249
E06,naics2,62,8757,379,0.04327966198469796,0.609772941429791,0.9725602170781498,0.023357880593880446,0.5356441167751826,1.14634630686703,0.03618760395209532
E06,naics2,71,2889,254,0.0879196953963309,0.7048692262646244,0.9571590790240403,0.040549475197823176,0.3960556609890992,1.0685654763294146,0.07525460700530688
E06,naics2,72,12456,994,0.07980089916506101,0.6448582698622753,0.952423623928179,0.04113203234623037,0.2516137227199705,0.9991419813052196,0.0701853793761209
E06,naics2,81,8847,650,0.07347123318639087,0.6652029811955685,0.9647295915015812,0.03573859397910781,0.33206860301268665,1.0455068531663256,0.06414692177568146
E06,project_state,AL,763,63,0.08256880733944955,0.6385877403089453,0.9633786848072563,0.040670779416328774,0.35597372176488584,1.0399883742039775,0.07096244065162599
E06,project_state,AR,560,39,0.06964285714285715,0.6240658348388732,0.9249963088734682,0.03694156909934975,0.1598577656996328,1.0554236774362145,0.0669182968138488
E06,project_state,AZ,1971,123,0.0624048706240487,0.5972565431895727,0.97127195297927,0.03412200777584964,0.526754106683555,0.9909387868090288,0.04811467042014932
