file,field,pandas_dtype,missing_count,missing_percent,blank_string_count,distinct_count
FOIA_7a_FY2010_FY2019_asof_260630.csv,Program,object,0,0.0,0,1
FOIA_7a_FY2010_FY2019_asof_260630.csv,LocationID,float64,1,0.0002,0,3118
FOIA_7a_FY2010_FY2019_asof_260630.csv,BorrName,object,30,0.0055,0,433973
FOIA_7a_FY2010_FY2019_asof_260630.csv,BorrStreet,object,0,0.0,0,472661
FOIA_7a_FY2010_FY2019_asof_260630.csv,BorrCity,object,0,0.0,0,26419
FOIA_7a_FY2010_FY2019_asof_260630.csv,BorrState,object,0,0.0,0,58
FOIA_7a_FY2010_FY2019_asof_260630.csv,BorrZip,int64,0,0.0,0,24034
FOIA_7a_FY2010_FY2019_asof_260630.csv,BankName,object,1,0.0002,0,2861
FOIA_7a_FY2010_FY2019_asof_260630.csv,BankFDICNumber,float64,39309,7.2027,0,2438
FOIA_7a_FY2010_FY2019_asof_260630.csv,BankNCUANumber,float64,528060,96.7584,0,452
FOIA_7a_FY2010_FY2019_asof_260630.csv,BankStreet,object,1,0.0002,0,3019
FOIA_7a_FY2010_FY2019_asof_260630.csv,BankCity,object,1,0.0002,0,2137
FOIA_7a_FY2010_FY2019_asof_260630.csv,BankState,object,1,0.0002,0,55
FOIA_7a_FY2010_FY2019_asof_260630.csv,BankZip,object,1,0.0002,0,2613
FOIA_7a_FY2010_FY2019_asof_260630.csv,GrossApproval,float64,0,0.0,0,20014
FOIA_7a_FY2010_FY2019_asof_260630.csv,SBAGuaranteedApproval,float64,0,0.0,0,26978
FOIA_7a_FY2010_FY2019_asof_260630.csv,ApprovalDate,object,0,0.0,0,3407
FOIA_7a_FY2010_FY2019_asof_260630.csv,ApprovalFY,int64,0,0.0,0,10
FOIA_7a_FY2010_FY2019_asof_260630.csv,FirstDisbursementDate,object,67051,12.286,0,3678
FOIA_7a_FY2010_FY2019_asof_260630.csv,ProcessingMethod,object,0,0.0,0,24
FOIA_7a_FY2010_FY2019_asof_260630.csv,InitialInterestRate,float64,0,0.0,0,1799
FOIA_7a_FY2010_FY2019_asof_260630.csv,FixedorVariableInterestInd,object,0,0.0,0,2
FOIA_7a_FY2010_FY2019_asof_260630.csv,TermInMonths,float64,0,0.0,0,342
FOIA_7a_FY2010_FY2019_asof_260630.csv,NaicsCode,float64,2,0.0004,0,1267
FOIA_7a_FY2010_FY2019_asof_260630.csv,NaicsDescription,object,3,0.0005,0,2022
FOIA_7a_FY2010_FY2019_asof_260630.csv,FranchiseCode,object,498199,91.2869,0,5073
FOIA_7a_FY2010_FY2019_asof_260630.csv,FranchiseName,object,498305,91.3063,0,4443
FOIA_7a_FY2010_FY2019_asof_260630.csv,ProjectCounty,object,0,0.0,0,1899
FOIA_7a_FY2010_FY2019_asof_260630.csv,ProjectState,object,0,0.0,0,58
FOIA_7a_FY2010_FY2019_asof_260630.csv,SBADistrictOffice,object,0,0.0,0,67
FOIA_7a_FY2010_FY2019_asof_260630.csv,CongressionalDistrict,float64,29,0.0053,0,54
FOIA_7a_FY2010_FY2019_asof_260630.csv,BusinessType,object,24,0.0044,0,3
FOIA_7a_FY2010_FY2019_asof_260630.csv,BusinessAge,object,1824,0.3342,0,10
FOIA_7a_FY2010_FY2019_asof_260630.csv,LoanStatus,object,0,0.0,0,5
FOIA_7a_FY2010_FY2019_asof_260630.csv,PaidInFullDate,object,151030,27.6738,0,199
FOIA_7a_FY2010_FY2019_asof_260630.csv,ChargeOffDate,object,511608,93.7439,0,3590
FOIA_7a_FY2010_FY2019_asof_260630.csv,GrossChargeOffAmount,float64,0,0.0,0,32986
FOIA_7a_FY2010_FY2019_asof_260630.csv,RevolverStatus,object,0,0.0,0,2
FOIA_7a_FY2010_FY2019_asof_260630.csv,JobsSupported,float64,2,0.0004,0,312
FOIA_7a_FY2010_FY2019_asof_260630.csv,CollateralInd,object,0,0.0,0,2
FOIA_7a_FY2010_FY2019_asof_260630.csv,SoldSecMrktInd,object,417774,76.5503,0,2
FOIA_7a_FY2020_Present_asof_260630.csv,AsOfDate,object,0,0.0,0,1
FOIA_7a_FY2020_Present_asof_260630.csv,Program,object,0,0.0,0,1
FOIA_7a_FY2020_Present_asof_260630.csv,LocationID,int64,0,0.0,0,2338
FOIA_7a_FY2020_Present_asof_260630.csv,BorrName,object,2,0.0005,0,323750
FOIA_7a_FY2020_Present_asof_260630.csv,BorrStreet,object,0,0.0,0,333651
FOIA_7a_FY2020_Present_asof_260630.csv,BorrCity,object,0,0.0,0,21599
FOIA_7a_FY2020_Present_asof_260630.csv,BorrState,object,0,0.0,0,54
FOIA_7a_FY2020_Present_asof_260630.csv,BorrZip,int64,0,0.0,0,21250
FOIA_7a_FY2020_Present_asof_260630.csv,BankName,object,0,0.0,0,2183
FOIA_7a_FY2020_Present_asof_260630.csv,BankFDICNumber,float64,41322,10.6407,0,1873
FOIA_7a_FY2020_Present_asof_260630.csv,BankNCUANumber,float64,377191,97.1296,0,322
FOIA_7a_FY2020_Present_asof_260630.csv,BankStreet,object,0,0.0,0,2282
FOIA_7a_FY2020_Present_asof_260630.csv,BankCity,object,0,0.0,0,1666
FOIA_7a_FY2020_Present_asof_260630.csv,BankState,object,0,0.0,0,54
FOIA_7a_FY2020_Present_asof_260630.csv,BankZip,int64,0,0.0,0,1998
FOIA_7a_FY2020_Present_asof_260630.csv,GrossApproval,float64,0,0.0,0,21175
FOIA_7a_FY2020_Present_asof_260630.csv,SBAGuaranteedApproval,float64,0,0.0,0,29363
FOIA_7a_FY2020_Present_asof_260630.csv,ApprovalDate,object,0,0.0,0,2285
FOIA_7a_FY2020_Present_asof_260630.csv,ApprovalFY,int64,0,0.0,0,7
FOIA_7a_FY2020_Present_asof_260630.csv,FirstDisbursementDate,object,71186,18.3309,0,2345
FOIA_7a_FY2020_Present_asof_260630.csv,ProcessingMethod,object,0,0.0,0,19
FOIA_7a_FY2020_Present_asof_260630.csv,InitialInterestRate,float64,8,0.0021,0,1681
FOIA_7a_FY2020_Present_asof_260630.csv,FixedorVariableInterestInd,object,8,0.0021,0,2
FOIA_7a_FY2020_Present_asof_260630.csv,TermInMonths,float64,0,0.0,0,347
FOIA_7a_FY2020_Present_asof_260630.csv,NaicsCode,int64,0,0.0,0,1157
FOIA_7a_FY2020_Present_asof_260630.csv,NaicsDescription,object,0,0.0,0,1783
FOIA_7a_FY2020_Present_asof_260630.csv,FranchiseCode,object,341756,88.0048,0,3690
FOIA_7a_FY2020_Present_asof_260630.csv,FranchiseName,object,341920,88.047,0,3543
FOIA_7a_FY2020_Present_asof_260630.csv,ProjectCounty,object,0,0.0,0,1855
FOIA_7a_FY2020_Present_asof_260630.csv,ProjectState,object,0,0.0,0,54
FOIA_7a_FY2020_Present_asof_260630.csv,SBADistrictOffice,object,0,0.0,0,67
FOIA_7a_FY2020_Present_asof_260630.csv,CongressionalDistrict,float64,24,0.0062,0,54
FOIA_7a_FY2020_Present_asof_260630.csv,BusinessType,object,34,0.0088,0,3
FOIA_7a_FY2020_Present_asof_260630.csv,BusinessAge,object,186,0.0479,0,5
FOIA_7a_FY2020_Present_asof_260630.csv,LoanStatus,object,0,0.0,0,5
FOIA_7a_FY2020_Present_asof_260630.csv,PaidInFullDate,object,320136,82.4375,0,78
FOIA_7a_FY2020_Present_asof_260630.csv,ChargeOffDate,object,381450,98.2263,0,1002
FOIA_7a_FY2020_Present_asof_260630.csv,GrossChargeOffAmount,float64,0,0.0,0,6472
FOIA_7a_FY2020_Present_asof_260630.csv,RevolverStatus,object,0,0.0,0,2
FOIA_7a_FY2020_Present_asof_260630.csv,JobsSupported,float64,0,0.0,0,281
FOIA_7a_FY2020_Present_asof_260630.csv,CollateralInd,object,0,0.0,0,2
FOIA_7a_FY2020_Present_asof_260630.csv,SoldSecMrktInd,object,271574,69.9324,0,1
