comparison_type,factor,comparison_value,reference_category,scenario_value,eligible_loans,chargeoffs,pooled_risk_percent,pooled_ci95_low_percent,pooled_ci95_high_percent,vintage_standardized_risk_percent,mix_adjusted_risk_percent,adjusted_risk_difference_vs_reference_pp,adjusted_risk_difference_ci95_low_pp,adjusted_risk_difference_ci95_high_pp,vintages_passing_500_25,fdr_q_value
Observed versus adjusted,ProjectState,NH,CA,,3022,158,5.22832561,4.48999918,6.08033186,5.09798015,5.11215524,-2.3303219,-3.10658033,-1.55406347,1,1e-08
Observed versus adjusted,ProjectState,NJ,CA,,7062,502,7.10846786,6.53217376,7.7313993,7.13365869,7.79055829,0.34808114,-0.29430879,0.99047108,7,0.34185389
Observed versus adjusted,ProjectState,NM,CA,,1489,79,5.30557421,4.27775839,6.56341017,5.27639484,3.61069171,-3.83178543,-4.65343028,-3.01014058,0,0
Observed versus adjusted,ProjectState,NV,CA,,2134,157,7.35707591,6.32437847,8.54302236,7.65431156,7.69570169,0.25322454,-0.79008204,1.29653113,0,0.67154013
Observed versus adjusted,ProjectState,NY,CA,,19167,1270,6.62597172,6.28245633,6.98686972,6.63134018,6.47505813,-0.96741901,-1.37318547,-0.56165255,7,6.59e-06
Observed versus adjusted,ProjectState,OH,CA,,17210,1066,6.19407321,5.84362513,6.56407285,6.26829619,8.20985878,0.76738163,0.28137612,1.25338715,7,0.00304475
Observed versus adjusted,ProjectState,OK,CA,,2773,220,7.93364587,6.98494094,8.99873928,7.78983635,5.93976791,-1.50270923,-2.26271488,-0.74270358,0,0.00020115
Observed versus adjusted,ProjectState,OR,CA,,4362,204,4.67675378,4.08906003,5.34420645,4.6789474,4.86364453,-2.57883262,-3.20705439,-1.95061084,5,0
Observed versus adjusted,ProjectState,Other or thin,CA,,848,53,6.25,4.80983778,8.08475166,6.10541938,3.24266159,-4.19981555,-5.07180551,-3.3278256,0,0
Observed versus adjusted,ProjectState,PA,CA,,9409,554,5.88797959,5.43009448,6.38186967,5.89522946,6.14831043,-1.29416671,-1.81523192,-0.7731015,7,2.74e-06
Observed versus adjusted,ProjectState,PR,CA,,2806,227,8.08980756,7.13725154,9.15695814,8.19366169,4.00274948,-3.43972766,-3.97399722,-2.9054581,1,0
Observed versus adjusted,ProjectState,RI,CA,,2001,105,5.24737631,4.35331078,6.31294205,5.26369677,6.04013566,-1.40234148,-2.41435323,-0.39032973,0,0.00963065
Observed versus adjusted,ProjectState,SC,CA,,2088,148,7.08812261,6.06437908,8.26947292,7.07480123,7.92115952,0.47868238,-0.64538253,1.60274729,0,0.45777042
